ID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10
223	0.0185985	0.0432309	-0.0162046	0.0386406	0.01175	-0.0569628	0.0110743	0.0262617	0.0157496	0.00297556
224	0.119736	-0.128671	0.0919412	-0.137882	-0.0751347	0.23059	-0.124809	0.0121115	0.0255145	0.0648257
225	-0.0128907	-0.0345768	-0.0295362	0.0017319	0.00218649	-0.0107757	0.0707481	0.0419514	0.0481445	0.0146079
226	0.00396765	-0.0117356	0.0160812	0.0130089	0.00232935	0.00116635	-0.0469851	0.0414175	0.0513855	-0.00475503
227	-0.0186163	0.0253512	-0.0249807	-0.027263	-0.00162135	0.0207944	-0.0337274	0.0407648	-0.0127877	0.0412206
228	0.0355557	0.126814	0.010293	0.0291688	0.0249294	-0.0267674	-0.0187298	-0.0301621	0.0839217	-0.0850548
229	0.00385507	-0.03227	0.022897	0.01486	-0.035416	0.00439187	-0.0511985	-0.0277376	-0.0635859	-0.0327217
230	-0.008839	-0.00170421	0.0430454	0.000148699	0.030193	0.0321161	0.0630629	-0.000121996	-0.0235899	-0.0105824
231	-0.0192434	-0.0261275	-0.0069323	0.0326617	0.00989452	-0.0232995	-0.00332347	-0.0202803	0.0423756	0.0231935
232	-0.00370979	0.0235568	-0.0176335	0.00774294	-0.0211907	0.0218035	-0.0164491	0.00980287	0.0373442	-0.0191301
233	-0.0275407	-0.0235093	-0.0111134	-0.0180833	-0.0685039	0.00448483	-0.0176698	0.00940673	-0.00815009	0.0445459
234	-0.004323	0.00573337	-0.0089363	-0.0184264	-0.0182948	-0.00791479	-0.00349452	0.04798	0.0452306	-0.00604836
235	-0.0132283	0.0439316	-0.0147115	-0.0447398	-0.0055781	0.00275904	-0.0454274	-0.0247638	-0.00193622	0.0133045
236	-0.0251211	0.00230932	0.00714012	0.0292221	0.0281097	0.013554	0.012988	0.000762942	-0.00667779	-0.00119253
237	-0.011133	-0.00678507	-0.0364383	0.0362931	0.00979861	-0.0375977	-0.0335482	0.0353855	0.000334513	0.0273524
238	-0.0108745	0.00262304	-0.00701438	0.0342384	-0.00427189	0.00728318	0.0410429	-0.0148533	0.0406086	0.0495543
239	0.0106637	0.00141521	-0.0339147	-0.0183143	-0.0161418	0.0455848	0.00937747	0.00222065	-0.0395776	-0.0238371
241	0.00489748	-0.00697313	-0.0807976	-0.0118548	0.0107591	-0.00342644	-0.0782454	-0.0575847	-0.000478775	-0.0684891
242	-0.0332755	-0.00770896	0.0157959	-0.0480756	0.0133551	-0.00835114	-0.0388535	-0.00910398	-0.0685683	-0.0416663
243	0.0117333	0.0233135	0.0425942	-0.0343842	-0.0194271	0.0341325	0.021769	-0.037161	0.0241866	-0.0188416
