"cyto" "RNA" "cytokine"
"X305" -0.498881685490256 0.0334927685500597 "GRO.alpha"
"X306" 1.57223564672774 0.627143018557703 "GRO.alpha"
"X307" 0.798432122677524 0.0152427985098249 "GRO.alpha"
"X308" 0.252515861593718 -0.02841922174792 "GRO.alpha"
"X309" 2.19946157745863 -0.258637580182291 "GRO.alpha"
"X310" 0.440431565844519 0.208710380995065 "GRO.alpha"
"X311" -0.606878088660146 -0.598529167404645 "GRO.alpha"
"X312" -0.405023126711287 -0.515495718682562 "GRO.alpha"
"X313" -1.06677543569581 -0.120035498241579 "GRO.alpha"
"X314" 0.824596743110705 -0.516093652900684 "GRO.alpha"
"X315" -0.772278268915874 -0.67686792062071 "GRO.alpha"
"X316" -0.446456049578496 -0.422546835027883 "GRO.alpha"
"X319" -0.842402940337644 -1.11198636635334 "GRO.alpha"
"X320" -0.0433250244447242 0.166539026957578 "GRO.alpha"
"X321" -0.925298893810123 0.312122535529144 "GRO.alpha"
"X322" -0.327684451574924 -0.141644725087453 "GRO.alpha"
"X323" -1.94846367368688 0.0129535385274299 "GRO.alpha"
"X324" -0.132381461376658 0.209082682531974 "GRO.alpha"
"X325" 0.476383420862255 0.202009010795954 "GRO.alpha"
"X326" -1.44260614954859 0.528309677624346 "GRO.alpha"
"X327" 0.272530132106638 -0.18484775071616 "GRO.alpha"
"X328" 0.671090302815126 0.708966878076542 "GRO.alpha"
"X329" 0.439536386462757 -0.295388186998162 "GRO.alpha"
"X330" 1.44187113613798 -0.181307719195144 "GRO.alpha"
"X331" -0.18995916401333 0.387000652640096 "GRO.alpha"
"X332" 0.152941578117301 0.232716925922306 "GRO.alpha"
"X334" -0.59061519656075 -0.0977210860834015 "GRO.alpha"
"X335" 1.03802211227164 -0.581388118126902 "GRO.alpha"
"X336" -1.53649973115478 -0.50445419323612 "GRO.alpha"
"X337" 0.116037974122304 0.0795815112104041 "GRO.alpha"
"X338" NA -0.248705976179911 "GRO.alpha"
"X339" 1.33572340649133 -0.352883696973721 "GRO.alpha"
"X340" -0.78323208863357 0.00676074477898114 "GRO.alpha"
"X341" 1.9572832210621 -0.801808076679294 "GRO.alpha"
"X342" -1.21968534878102 -0.84379192224057 "GRO.alpha"
"X343" -0.122015066129416 -0.767409631713867 "GRO.alpha"
"X344" -0.196799464105836 0.117131678671099 "GRO.alpha"
"X345" -1.12927366914604 -0.236402869893299 "GRO.alpha"
"X1.1" -0.418161232762861 -0.31367641183436 "HGF"
"X2.1" -0.160610771578204 0.573530954435341 "HGF"
"X3.1" -1.45969459946946 0.73554819277644 "HGF"
"X4.1" 0.244182888343241 -0.0232955929037361 "HGF"
"X5.1" -0.435772853768152 -0.347403203560219 "HGF"
"X6.1" -0.394585759195202 0.240262685086251 "HGF"
"X7.1" 0.26119563021653 0.235010302138425 "HGF"
"X8.1" -0.128375302509713 1.21666085342249 "HGF"
"X9.1" 0.0847561428745993 0.249560321906272 "HGF"
"X10.1" 1.59565729751244 0.925688227543118 "HGF"
"X11.1" 0.998004347017611 0.380524935989009 "HGF"
"X12.1" -1.00465417570604 0.046631579824878 "HGF"
"X13.1" 0.845288342033113 0.692158690996464 "HGF"
"X14.1" 1.08848147431328 -0.232720432820078 "HGF"
"X15.1" 0.111013521047093 0.66039012325509 "HGF"
"X16.1" 1.33815519420163 0.455442925757778 "HGF"
"X17.1" 0.0855626017926472 0.0813812427258575 "HGF"
"X18.1" 1.11825831286743 0.0661866899450583 "HGF"
"X19.1" 1.11990242182634 -0.200539045296356 "HGF"
"X20.1" -1.14373245224818 0.417977374669146 "HGF"
"X21.1" 1.54224252526923 -0.57982759165204 "HGF"
"X22.1" 0.387993304775141 -0.611004360581363 "HGF"
"X23.1" 1.2691111652383 -0.71311085996258 "HGF"
"X24.1" 1.92783792572441 0.303303651193003 "HGF"
"X25.1" -0.572279401945978 0.15211323532672 "HGF"
"X26.1" 0.719987204279863 -0.04325465817437 "HGF"
"X27.1" 0.379338194631939 0.12981284750153 "HGF"
"X28.1" -0.676148941193857 -0.316449892506463 "HGF"
"X29.1" 0.0581377745829926 -0.464666456498419 "HGF"
"X30.1" -1.40068973971641 0.193354602163678 "HGF"
"X31.1" -1.93004057863135 0.00133279661148692 "HGF"
"X32.1" -1.44318110513413 0.939727714946258 "HGF"
"X33.1" -2.15246960517725 0.66114645880545 "HGF"
"X34.1" -1.22581097919646 -0.222082213215965 "HGF"
"X35.1" 0.150387460477496 -0.686138401150667 "HGF"
"X36.1" -1.05594003777989 0.346936579376769 "HGF"
"X37.1" -0.989983894036256 -0.0299440273110591 "HGF"
"X38.1" -0.633477434251994 -0.0713636262814727 "HGF"
"X39.1" 0.190173050530034 0.968465652007387 "HGF"
"X40.1" 0.0572410007902451 0.24536780233213 "HGF"
"X41.1" 0.79275413731606 -0.214509891806352 "HGF"
"X42.1" -1.19754263784315 0.21030964489325 "HGF"
"X43.1" 0.291434094319204 0.0429335742765994 "HGF"
"X44.1" -0.433378416715787 0.303236951002959 "HGF"
"X45.1" -0.367659173333892 0.215761627553026 "HGF"
"X46.1" -0.889227875861061 0.727075697923312 "HGF"
"X47.1" 0.891323147870724 -0.369474897614404 "HGF"
"X48.1" 0.415267043716565 0.647080035665984 "HGF"
"X49.1" -0.102395260660383 0.213203201424892 "HGF"
"X50.1" 1.6843227011441 -0.431530738060105 "HGF"
"X51.1" -0.737785970786294 -0.777502643216938 "HGF"
"X52.1" 0.400820575231501 -0.316936739815282 "HGF"
"X53.1" 0.174028905170399 -0.161779960724959 "HGF"
"X54.1" -0.439275269299318 -0.271267795255369 "HGF"
"X55.1" NA -0.535660483175724 "HGF"
"X56.1" -0.415454677096394 0.627641004320431 "HGF"
"X57.1" -1.47106042209197 0.51857098549239 "HGF"
"X58.1" 0.500908163474642 -0.214156211261747 "HGF"
"X59.1" 0.804443269761057 0.311226097640664 "HGF"
"X60.1" -0.235125649101408 0.224096563182828 "HGF"
"X61.1" 1.07537070315167 -0.672290424063669 "HGF"
"X62.1" 0.380814858034318 -0.572801426493742 "HGF"
"X63.1" -0.43171095848151 0.228478660271267 "HGF"
"X64.1" -1.66237882694893 0.415363438856106 "HGF"
"X65.1" -0.408876866928399 -0.607420652772647 "HGF"
"X66.1" 1.24015214718637 -0.244741009233413 "HGF"
"X67.1" -0.583257246266603 0.501569598189823 "HGF"
"X68.1" -1.63808795447863 0.878916398177019 "HGF"
"X69.1" -1.11814442057161 0.730377545076406 "HGF"
"X70.1" -1.39965024585752 0.0244277435465792 "HGF"
"X71.1" 0.15058289884263 0.605012632351765 "HGF"
"X72.1" 2.43573408817464 0.189962416634162 "HGF"
"X73.1" -1.71140944378498 -0.0652842263480463 "HGF"
"X74.1" -0.681908198048431 0.743382488288842 "HGF"
"X75.1" -0.078053526162294 -0.212574732454354 "HGF"
"X76.1" 0.200303641132369 0.200740236534564 "HGF"
"X77.1" -0.196991717134004 0.353069621249382 "HGF"
"X78.1" 1.89362254285398 0.017976846288002 "HGF"
"X79.1" 0.00250168597711634 -0.475671014645591 "HGF"
"X80.1" 1.22860631728118 0.60865690937122 "HGF"
"X81.1" 0.083070219511693 -0.643317149329229 "HGF"
"X82.1" 0.56649282513855 -0.716680345839231 "HGF"
"X83.1" -1.3229857308235 -0.0566009595248916 "HGF"
"X84.1" -0.716232840221916 0.448183292645204 "HGF"
"X85.1" 0.48852318455266 0.439449785228912 "HGF"
"X86.1" 0.537984627162134 0.216688015527478 "HGF"
"X87.1" 0.468164710574278 -0.474846141720362 "HGF"
"X89.1" -0.671595822204806 -0.0178178036441465 "HGF"
"X90.1" -0.422331735726879 -0.481201681738597 "HGF"
"X91.1" 1.1531644687173 -0.172178312666061 "HGF"
"X92.1" 0.865195914578778 -0.433765603633189 "HGF"
"X93.1" -0.0386820096607769 0.0987526508941854 "HGF"
"X94.1" -0.216312801307793 0.102257278045838 "HGF"
"X95.1" -0.109606865572357 1.38847160781403 "HGF"
"X96.1" -0.805703357690872 0.790726501355957 "HGF"
"X97.1" -0.247236198587897 0.436690013246637 "HGF"
"X98.1" -0.210986440248876 -0.156661638881685 "HGF"
"X99.1" 0.303202440694944 -0.435258299123475 "HGF"
"X100.1" 0.44953402470821 -0.501467522054808 "HGF"
"X101.1" 0.243393735629557 -0.139230593116195 "HGF"
"X102.1" -0.885406401073289 -0.546323170401693 "HGF"
"X103.1" 0.0327485673836515 0.467983380226363 "HGF"
