"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X102" 8.005764535 7.847968818 6.244540797 5.540727603 15.73480706 8.390756629 6.339713631 6.995131197 7.620376156 8.693281729 6.867557492 9.127386674 7.062411596 7.042777875 9.200049531 12.57343464 6.346443156 7.047901387 7.165053217 7.239394149 7.133847291 7.327612108 7.021223524 6.952449852 7.595991128 7.013130246 5.841607554 14.32368198
"X103" 10.12659776 7.80473976 6.668932148 6.330516667 15.74938722 8.970564262 7.656704767 7.024603511 7.336035925 8.782074785 6.868544996 9.614696676 7.034898832 7.086348484 10.16177293 11.44400362 6.412271517 7.061090782 7.097620908 7.148010216 7.21056345 6.904601279 7.068909674 7.058507954 7.573934904 6.975112085 5.63371001 14.5035575
"X104" 8.987211228 7.707832053 6.709927679 7.318496393 15.61294644 9.284521317 7.27920234 7.018315518 7.339168907 8.436019229 6.825747176 9.495987011 6.919706403 7.252297569 9.950503403 12.61138304 6.347016468 7.09274953 7.167556376 7.118552471 7.220026698 8.182268069 7.163409992 7.099330822 7.481372682 6.967820423 5.726721086 14.42037971
"X105" 8.257676515 7.76845849 6.47657232 7.51343687 15.76153835 9.811501274 7.180216963 6.995773005 7.022940143 9.209103583 6.989722602 10.23833369 7.025233752 7.272270611 9.918013168 12.57610358 5.898351673 7.008338437 7.115603375 7.084867616 7.543620768 7.52367441 7.078550448 7.065588918 7.882547082 6.939273549 5.614264154 14.49662218
"X106" 8.988570901 7.747935388 6.662531054 5.161925406 15.67621326 7.882246416 6.769216803 6.995619679 7.277688474 8.378838302 6.911199873 9.14461351 7.027811335 7.154344816 9.931221005 12.2754596 6.230271506 7.057172998 7.410174843 7.201290223 7.194962154 7.876898179 7.142472297 7.075005941 7.606076562 7.025576225 5.693905433 14.44206217
"X107" 9.196499091 7.943799082 6.317944005 6.203679421 15.57096212 8.806686241 7.229162007 6.947634423 6.960700853 9.1475771 6.912180703 10.78287043 7.029694943 7.108483677 10.33521428 11.89990452 5.993439526 7.098518253 7.218461132 7.279531552 7.22677722 7.580712898 7.119402892 7.236792624 7.572473755 7.029019288 5.715423142 14.20792906
"X108" 9.028239439 7.798313971 6.499834624 5.155420449 15.62560062 8.989225558 7.154313936 7.085568032 7.66296357 8.932992764 6.929765507 9.303764915 7.022118337 7.119786426 9.551814725 12.61666023 5.980003135 7.06129316 7.096783156 7.302881417 7.229428061 7.329858909 7.056726505 7.160560038 7.733524252 7.024773917 5.738126752 14.32372857
"X109" 8.801153638 7.796549543 6.492062579 5.59706333 15.75005111 7.72025649 6.46858857 7.027759016 7.203921964 8.000834671 6.890815159 9.571938709 7.01859158 7.191695611 9.361770492 12.85168586 6.303475005 7.035282953 7.160164313 7.211029488 7.433133113 8.036744563 7.160308232 7.068769368 7.612859604 6.947159423 5.696154172 14.28452208
"X110" 8.502394572 7.769387847 6.468016111 6.382431702 15.65819572 8.842948667 6.252301677 6.970289578 7.548782891 9.185906767 6.854520041 10.22989262 7.004111956 7.223261416 9.626298134 12.48962695 6.225497503 7.054758101 7.138106922 7.35268564 7.323818504 8.006538181 7.081282461 7.083783622 7.687708421 6.995415608 5.690363691 14.42635298
"X111" 9.126555086 7.905959913 6.471322732 6.276250449 15.62625782 9.153589565 7.190189103 6.961666838 7.433540808 9.168185838 6.92691992 9.937458282 7.092631721 7.185906318 10.24361125 12.36697646 6.090217597 7.118932521 7.158080825 7.23105577 7.161667864 8.097749336 7.134773145 7.040104157 7.572905501 7.031400791 5.771083481 14.40785828
