"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X24" 10.22837732 7.40229837 7.13789859 9.762331028 10.72644925 8.077863979 9.499265548 6.983190749 7.123495218 8.229750241 6.823572432 10.2259763 7.039244338 6.470790151 8.719024691 12.29880175 7.50574803 7.039531526 7.338843513 7.189902914 7.197517152 7.206051156 7.16869407 7.029940062 7.47353151 7.17021089 7.350295606 7.672375594
"X25" 10.40371258 7.08610924 7.314494225 8.864074344 10.28111148 7.353237441 8.396592034 7.050930126 7.186841138 9.269373341 6.92275608 9.261351069 7.302432658 6.728808241 8.628747849 12.70516738 6.973813494 7.01993575 7.224396322 7.159883238 7.28796889 7.982066263 7.030103486 7.080930743 7.559025119 7.183663549 7.121799958 7.571553964
"X26" 10.13799083 7.092926651 7.192595483 8.520510988 9.777211882 8.709135257 8.504244907 7.003452519 7.44346919 8.021694142 6.888695274 9.102945754 7.033751249 6.943341601 8.436363557 13.1143641 7.341643929 7.033280062 7.123773482 7.078719175 7.218818814 7.094983038 7.137963074 7.095377678 7.692182413 7.194980586 7.025226859 7.581101232
"X27" 9.759159818 7.183040956 7.22624585 9.197560602 8.940231986 7.281493511 8.47528967 7.280101487 6.983910092 8.581016714 6.93074367 9.890688483 7.029023504 6.610677362 8.146696196 12.32046921 6.929916573 7.053239877 7.296728482 7.139203689 7.274930789 6.929414058 7.119315339 7.067597224 7.661925919 7.158790733 7.502156946 7.395449225
"X28" 10.93769408 7.213537251 7.022146744 8.890108951 9.566366152 8.068548082 8.586268518 7.053337016 7.580080395 8.815095073 6.861186542 8.848707693 7.016342034 6.630156892 8.876681082 12.55036926 7.04757259 7.060400766 7.09612442 7.202749673 7.246604515 7.279557642 7.001810127 7.025665424 7.747613822 7.032121298 7.147762487 7.197191901
"X29" 9.897319462 7.148171551 6.980459735 8.106835898 8.726605962 7.275241778 7.152671876 7.039254597 7.064791586 8.794866364 6.798161915 8.123551299 7.159582126 6.688457478 8.9213987 12.95673926 7.176779175 6.984668705 7.114456685 7.280025504 7.351357029 7.358276143 7.023378146 7.064460707 8.229043342 7.068456948 7.095957572 7.176749666
"X30" 9.694249159 7.235244607 7.117521741 8.631978562 9.745183271 8.074498064 7.358438643 6.901685752 6.975288344 8.593787185 6.893044291 8.796211371 7.125444162 7.648466591 8.629980686 13.02840596 6.831763974 7.008815754 7.097603606 7.008208267 7.277497736 7.758022515 7.000233858 7.07111499 8.2718638 7.062485829 7.300682019 7.654259872
"X31" 10.11040944 7.211335387 7.139140599 9.581574888 8.994151938 7.380801062 7.955642876 6.921247952 7.094174703 8.365307694 6.908274038 8.679496476 7.056013705 8.362452902 8.896710458 12.47880442 6.881362515 7.037522759 7.366745819 7.483179639 7.188868545 6.799739757 7.231632337 7.037862771 7.634488059 7.135557989 7.725804892 7.705332931
"X32" 11.00845384 7.427453239 7.155161426 9.291534775 10.91669639 9.138470933 8.911566376 7.331464097 7.152419353 8.621746082 6.838583953 9.255967315 7.029995803 6.489218729 9.461175103 13.0160247 6.934667958 7.033257987 7.272623207 7.274956781 7.371583939 7.675898306 6.997685743 7.045902065 7.766020776 7.121680687 7.330286275 7.494577179
"X33" 10.50024906 7.129527986 7.060540061 9.269312742 7.974338073 7.700087062 8.412714736 6.999816202 7.46624205 8.15092989 6.907991776 9.293196454 7.022126982 6.762691937 8.789641629 13.23032714 6.916181407 7.087977966 7.158291521 7.123226405 7.26105872 7.480661546 7.167337392 7.066930757 7.692496682 7.153496351 6.842401881 7.196575904
