"ILMN_1774874" "ILMN_1705769" "ILMN_1787897" "ILMN_2184373" "ILMN_1791759" "ILMN_1720048" "ILMN_1671509" "ILMN_1674563" "ILMN_1791447" "ILMN_1773352" "ILMN_2052511" "ILMN_1775501" "ILMN_1704321" "ILMN_1699651" "ILMN_1728106" "ILMN_1778457" "ILMN_1674167" "ILMN_1772674" "ILMN_1735208" "ILMN_1738725" "ILMN_1793988" "ILMN_1775822" "ILMN_1809813" "ILMN_1716608" "ILMN_2375879" "ILMN_1790149" "ILMN_2207504" "ILMN_3239965"
"X89" 10.08651025 7.420088109 12.35821048 11.28568024 8.759965235 10.58033703 9.56292711 7.015528412 7.185548531 10.39835442 6.787161497 15.36464155 7.026618045 9.693242729 8.662435005 12.74467453 6.983002872 7.018043592 7.31081859 7.366613692 7.072684368 7.224185291 7.081207325 7.03935369 10.08228256 6.955005299 5.715264336 12.111526
"X91" 8.728667223 7.165545391 12.22938084 11.09361883 10.22480726 10.56238486 8.369001584 6.945114269 7.005926844 9.479758846 6.834347664 14.27158476 7.040142404 8.615708589 7.890794356 13.1921355 6.833369696 6.942694802 7.095480955 7.232048958 7.222405092 6.321099676 7.00859845 7.01517538 8.62912244 7.002854739 5.823001646 10.76196597
"X92" 10.31421161 7.488117802 12.20286525 11.14003156 8.415373588 10.49619681 10.91508152 7.03681386 6.88712202 10.64041096 6.867920322 15.48028825 7.08430845 11.0702467 8.90254621 12.43237193 7.558930622 7.084479352 7.398099225 7.387248295 7.158376176 7.378185462 7.102028506 7.017189436 9.921152481 6.874857165 5.713361705 12.02624715
"X93" 9.60230523 7.178939878 12.49896785 10.46255289 13.10428735 10.48048685 10.22508199 7.021352019 6.937571478 10.16499394 6.918244801 15.48294042 7.006144314 8.965883277 9.822064211 13.44062495 7.785554462 7.012908769 7.270694742 7.544199926 7.202576479 7.511526964 6.970826759 7.111565678 10.13262299 7.0220654 5.628247287 12.347559
"X94" 9.847357508 7.247675947 11.90613807 10.93965734 8.992003749 10.18706765 8.681556918 6.989918573 6.955026161 9.0310648 6.796361721 14.61908142 7.019754055 8.750150976 8.640448323 12.73984182 6.83425995 6.996450809 7.175075659 7.322968066 7.328074826 6.69299914 7.160741509 7.14068817 9.062383501 6.915578598 5.756335894 10.95763565
"X95" 9.318678356 7.229528381 10.89606026 10.88607271 8.932533384 9.578381284 8.155396334 6.990915166 7.076008532 9.620990572 6.919926416 13.87493793 6.948595601 7.481977387 7.90701808 12.65234608 6.844614191 7.027142439 7.297222278 7.336603596 7.470555239 6.972308774 7.065187288 7.1131497 8.918650093 7.027801788 5.693708521 11.08457503
"X96" 8.776384927 7.247162727 11.83742096 11.1764657 9.687008504 10.27890943 8.277362232 6.937376476 6.976084519 8.954246484 6.909456531 14.36157629 7.098135506 7.89185949 8.489300736 13.04264064 6.95721251 7.022052916 7.259307898 7.262992066 7.218205994 6.592204704 7.106699993 7.030377244 9.008527157 6.939928275 6.384985299 11.26899951
"X97" 7.75077439 7.325494008 11.87432596 11.06492668 9.837461594 10.37416641 8.164066163 6.971026522 7.054293038 8.738775991 6.846188746 14.18090503 7.032991139 9.226579966 8.744175844 12.8284671 6.994263056 7.013095298 7.263557248 7.177266264 7.295875835 6.684203044 7.07603919 7.098745464 8.376761683 6.906148041 5.827721128 10.99430754
"X98" 9.109235857 7.141964227 11.29763344 10.93010877 11.81644759 10.32239976 8.296871025 6.998696483 7.065344795 9.321052372 6.891936846 13.46401698 7.123057442 7.502655765 8.152748816 12.72272385 7.383594595 7.036147233 7.285286116 7.215906176 7.319220504 6.733727605 7.072950559 7.089913642 8.331767307 6.867719004 5.918073382 11.41156277
"X100" 9.844781727 7.288527318 12.45732683 11.27705571 8.767930201 10.31779645 9.641521001 7.042302976 7.060388017 8.753919755 6.871663323 15.22230797 6.90812185 10.30160036 8.931858656 12.49479967 6.766443412 7.082357582 7.327117356 7.305573957 7.232857099 6.801811036 7.110597962 7.112376294 9.681177873 6.945580581 5.840777319 10.74579138
